Chart,Tool,Alert_ID,Standard_ID,CIS_Cluster,Description,Resource,Original_YAML,Characters
pages,checkov,CKV2_K8S_6,check_40,Network Policies and CNI,Minimize the admission of pods which lack an associated NetworkPolicy,"['Pod/default/pages-mysql', 'resource_type']",{},7058
pages,checkov,CKV2_K8S_6,check_40,Network Policies and CNI,Minimize the admission of pods which lack an associated NetworkPolicy,"['Pod/default/pages-pages-api', 'resource_type']",{},7058
pages,checkov,CKV2_K8S_6,check_40,Network Policies and CNI,Minimize the admission of pods which lack an associated NetworkPolicy,"['Pod/default/contract-test', 'resource_type']","{'apiVersion': 'v1', 'kind': 'Pod', 'metadata': {'labels': {'app': 'contracts-pages-api', 'helm': 'test'}, 'name': 'contract-test', 'annotations': {'helm.sh/hook': 'test-success'}}, 'spec': {'containers': [{'name': 'postman-test', 'image': 'dellcloud/newman:latest', 'command': ['newman', 'run', 'https://cloud-native-labs.s3.ap-south-1.amazonaws.com/J21/labguide/pages-testsuite.json'], 'args': ['--env-var', 'BASE_URL=pages-pages-api.default.svc.cluster.local:8080']}], 'restartPolicy': 'Never'}}",498
pages,checkov,CKV2_K8S_6,check_40,Network Policies and CNI,Minimize the admission of pods which lack an associated NetworkPolicy,"['Pod/default/pages-test-dbconnect-passtest', 'resource_type']","{'apiVersion': 'v1', 'kind': 'Pod', 'metadata': {'labels': {'app': 'dbconnect-pages-api', 'helm': 'test'}, 'name': 'pages-test-dbconnect-passtest', 'annotations': {'helm.sh/hook': 'test'}}, 'spec': {'containers': [{'image': 'mysql:8.0', 'name': 'pages-test-pass', 'imagePullPolicy': 'Always', 'command': ['/bin/bash'], 'args': ['-c', ""while true; do (mysql -u root -h pages-mysql pages -ppassword  -e 'show tables;' > logs.txt);count=$(cat logs.txt | grep '[p]ages' | wc -l);if [[ $count -gt 0 ]]; then echo 'Found'; exit 0;else echo 'Not Found';exit 1;fi;done""]}], 'restartPolicy': 'Never'}}",592
pages,checkov,CKV2_K8S_6,check_40,Network Policies and CNI,Minimize the admission of pods which lack an associated NetworkPolicy,"['Pod/default/pages-api-test-getmessage', 'resource_type']","{'apiVersion': 'v1', 'kind': 'Pod', 'metadata': {'labels': {'app': 'message-pages-api', 'helm': 'test'}, 'name': 'pages-api-test-getmessage', 'annotations': {'helm.sh/hook': 'test-success'}}, 'spec': {'containers': [{'image': 'curlimages/curl', 'name': 'pages-api-test', 'imagePullPolicy': 'IfNotPresent', 'command': ['/bin/sh', '-c'], 'args': ['curl  http://pages-pages-api.default.svc.cluster.local:8080']}], 'restartPolicy': 'Never'}}",437
meerschaum,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['Service/default/meerschaum', '']","{'apiVersion': 'v1', 'kind': 'Service', 'metadata': {'name': 'meerschaum', 'labels': {'helm.sh/chart': 'meerschaum-0.2.0', 'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum', 'app.kubernetes.io/version': '2.8.4', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'type': 'ClusterIP', 'ports': [{'port': 8000, 'targetPort': 8000, 'protocol': 'TCP', 'name': 'http'}], 'selector': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}}",497
meerschaum,checkov,CKV_K8S_13,check_2,N/A,Memory limits should be set,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0']","{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}",1048
meerschaum,checkov,CKV_K8S_37,check_34,Pod Security Policy,Minimize the admission of containers with capabilities assigned,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0']","{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}",1048
meerschaum,checkov,CKV_K8S_15,check_25,N/A,Image Pull Policy should be Always,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0']","{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}",1048
meerschaum,checkov,CKV_K8S_31,check_31,General Policies,Ensure that the seccomp profile is set to docker/default or runtime/default,"['Deployment/default/meerschaum', '']","{'apiVersion': 'apps/v1', 'kind': 'Deployment', 'metadata': {'name': 'meerschaum', 'labels': {'helm.sh/chart': 'meerschaum-0.2.0', 'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum', 'app.kubernetes.io/version': '2.8.4', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'selector': {'matchLabels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'replicas': 1, 'strategy': {'type': 'RollingUpdate'}, 'template': {'metadata': {'labels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'spec': {'securityContext': {'fsGroup': 1000, 'runAsUser': 1000, 'runAsGroup': 1000}, 'containers': [{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}], 'restartPolicy': 'Always', 'volumes': [{'name': 'meerschaum-data', 'persistentVolumeClaim': {'claimName': 'meerschaum'}}]}}}, 'status': {}}",1887
meerschaum,checkov,CKV_K8S_28,check_34,Pod Security Policy,Minimize the admission of containers with the NET_RAW capability,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0']","{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}",1048
meerschaum,checkov,CKV_K8S_11,check_5,N/A,CPU limits should be set,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0']","{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}",1048
meerschaum,checkov,CKV_K8S_38,check_35,RBAC and Service Accounts,Ensure that Service Account Tokens are only mounted where necessary,"['Deployment/default/meerschaum', '']","{'apiVersion': 'apps/v1', 'kind': 'Deployment', 'metadata': {'name': 'meerschaum', 'labels': {'helm.sh/chart': 'meerschaum-0.2.0', 'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum', 'app.kubernetes.io/version': '2.8.4', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'selector': {'matchLabels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'replicas': 1, 'strategy': {'type': 'RollingUpdate'}, 'template': {'metadata': {'labels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'spec': {'securityContext': {'fsGroup': 1000, 'runAsUser': 1000, 'runAsGroup': 1000}, 'containers': [{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}], 'restartPolicy': 'Always', 'volumes': [{'name': 'meerschaum-data', 'persistentVolumeClaim': {'claimName': 'meerschaum'}}]}}}, 'status': {}}",1887
meerschaum,checkov,CKV_K8S_26,check_29,N/A,Do not specify hostPort unless absolutely necessary,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0/ports/0']","{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}",60
meerschaum,checkov,CKV_K8S_22,check_27,N/A,Use read-only filesystem for containers where possible,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0']","{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}",1048
meerschaum,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['Deployment/default/meerschaum', '']","{'apiVersion': 'apps/v1', 'kind': 'Deployment', 'metadata': {'name': 'meerschaum', 'labels': {'helm.sh/chart': 'meerschaum-0.2.0', 'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum', 'app.kubernetes.io/version': '2.8.4', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'selector': {'matchLabels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'replicas': 1, 'strategy': {'type': 'RollingUpdate'}, 'template': {'metadata': {'labels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'spec': {'securityContext': {'fsGroup': 1000, 'runAsUser': 1000, 'runAsGroup': 1000}, 'containers': [{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}], 'restartPolicy': 'Always', 'volumes': [{'name': 'meerschaum-data', 'persistentVolumeClaim': {'claimName': 'meerschaum'}}]}}}, 'status': {}}",1887
meerschaum,checkov,CKV_K8S_43,check_9,N/A,Image should use digest,"['Deployment/default/meerschaum', 'spec/template/spec/containers/0']","{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}",1048
meerschaum,checkov,CKV_K8S_40,check_13,N/A,Containers should run as a high UID to avoid host conflict,"['Deployment/default/meerschaum', '']","{'apiVersion': 'apps/v1', 'kind': 'Deployment', 'metadata': {'name': 'meerschaum', 'labels': {'helm.sh/chart': 'meerschaum-0.2.0', 'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum', 'app.kubernetes.io/version': '2.8.4', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'selector': {'matchLabels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'replicas': 1, 'strategy': {'type': 'RollingUpdate'}, 'template': {'metadata': {'labels': {'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum'}}, 'spec': {'securityContext': {'fsGroup': 1000, 'runAsUser': 1000, 'runAsGroup': 1000}, 'containers': [{'args': ['start', 'api', '--production', '--port', '8000'], 'env': [{'name': 'MRSM_CONFIG', 'value': '{""meerschaum"":{""api_instance"":""sql:prod"",""connectors"":{""sql"":{""prod"":{""uri"":""sqlite:////meerschaum/sqlite/prod.db""}}},""instance"":""sql:prod""}}'}], 'image': 'bmeares/meerschaum:2.8.4', 'imagePullPolicy': 'IfNotPresent', 'livenessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 120, 'periodSeconds': 10, 'timeoutSeconds': 5, 'successThreshold': 1, 'failureThreshold': 6}, 'readinessProbe': {'httpGet': {'path': '/healthcheck', 'port': 8000, 'httpHeaders': [{'name': 'Host', 'value': '127.0.0.1'}]}, 'initialDelaySeconds': 30, 'periodSeconds': 5, 'timeoutSeconds': 3, 'successThreshold': 1, 'failureThreshold': 6}, 'name': 'meerschaum', 'ports': [{'containerPort': 8000, 'hostPort': 8000, 'protocol': 'TCP'}], 'resources': {}, 'volumeMounts': [{'mountPath': '/meerschaum', 'name': 'meerschaum-data'}], 'securityContext': {'allowPrivilegeEscalation': False}}], 'restartPolicy': 'Always', 'volumes': [{'name': 'meerschaum-data', 'persistentVolumeClaim': {'claimName': 'meerschaum'}}]}}}, 'status': {}}",1887
meerschaum,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['Ingress/default/meerschaum', '']","{'apiVersion': 'networking.k8s.io/v1', 'kind': 'Ingress', 'metadata': {'name': 'meerschaum', 'labels': {'helm.sh/chart': 'meerschaum-0.2.0', 'app.kubernetes.io/name': 'meerschaum', 'app.kubernetes.io/instance': 'meerschaum', 'app.kubernetes.io/version': '2.8.4', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'ingressClassName': 'nginx', 'tls': [{'hosts': ['localhost']}], 'rules': [{'host': 'localhost', 'http': {'paths': [{'path': '/', 'pathType': 'Prefix', 'backend': {'service': {'name': 'meerschaum', 'port': {'number': 8000}}}}]}}]}}",544
meerschaum,checkov,CKV2_K8S_6,check_40,Network Policies and CNI,Minimize the admission of pods which lack an associated NetworkPolicy,"['Pod/default/meerschaum', 'resource_type']",{},3340
ed-nginx,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['ServiceAccount/default/nginx-ingress', '']","{'apiVersion': 'v1', 'kind': 'ServiceAccount', 'metadata': {'name': 'nginx-ingress', 'labels': {'app.kubernetes.io/name': 'ingress-nginx', 'app.kubernetes.io/part-of': 'ingress-nginx'}}}",186
ed-nginx,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['ConfigMap/default/ingress-nginx-configuration', '']","{'kind': 'ConfigMap', 'apiVersion': 'v1', 'metadata': {'name': 'ingress-nginx-configuration', 'labels': {'app.kubernetes.io/name': 'ingress-nginx', 'app.kubernetes.io/part-of': 'ingress-nginx', 'k8s.scw.cloud/system': 'ingress', 'k8s.scw.cloud/ingress': 'nginx', 'k8s.scw.cloud/object': 'ConfigMap'}}}",301
ed-nginx,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['ConfigMap/default/ingress-nginx-tcp-services', '']","{'kind': 'ConfigMap', 'apiVersion': 'v1', 'metadata': {'name': 'ingress-nginx-tcp-services', 'labels': {'app.kubernetes.io/name': 'ingress-nginx', 'app.kubernetes.io/part-of': 'ingress-nginx', 'k8s.scw.cloud/system': 'ingress', 'k8s.scw.cloud/ingress': 'nginx', 'k8s.scw.cloud/object': 'ConfigMap'}}}",300
ed-nginx,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['ConfigMap/default/ingress-nginx-udp-services', '']","{'kind': 'ConfigMap', 'apiVersion': 'v1', 'metadata': {'name': 'ingress-nginx-udp-services', 'labels': {'app.kubernetes.io/name': 'ingress-nginx', 'app.kubernetes.io/part-of': 'ingress-nginx', 'k8s.scw.cloud/system': 'ingress', 'k8s.scw.cloud/ingress': 'nginx', 'k8s.scw.cloud/object': 'ConfigMap'}}}",300
ed-nginx,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['Role/default/nginx-ingress', '']","{'apiVersion': 'rbac.authorization.k8s.io/v1', 'kind': 'Role', 'metadata': {'name': 'nginx-ingress', 'labels': {'app.kubernetes.io/name': 'ingress-nginx', 'app.kubernetes.io/part-of': 'ingress-nginx'}}, 'rules': [{'apiGroups': [''], 'resources': ['configmaps', 'pods', 'secrets', 'namespaces'], 'verbs': ['get']}, {'apiGroups': [''], 'resources': ['configmaps'], 'resourceNames': ['ingress-controller-leader-nginx'], 'verbs': ['get', 'update']}, {'apiGroups': [''], 'resources': ['configmaps'], 'verbs': ['create']}, {'apiGroups': [''], 'resources': ['endpoints'], 'verbs': ['get']}]}",584
ed-nginx,checkov,CKV_K8S_21,check_26,General Policies,The default namespace should not be used,"['RoleBinding/default/nginx-ingress', '']","{'apiVersion': 'rbac.authorization.k8s.io/v1', 'kind': 'RoleBinding', 'metadata': {'name': 'nginx-ingress', 'labels': {'app.kubernetes.io/name': 'ingress-nginx', 'app.kubernetes.io/part-of': 'ingress-nginx'}}, 'roleRef': {'apiGroup': 'rbac.authorization.k8s.io', 'kind': 'Role', 'name': 'nginx-ingress'}, 'subjects': [{'kind': 'ServiceAccount', 'name': 'nginx-ingress'}]}",371
ed-nginx,checkov,CKV_K8S_13,check_2,N/A,Memory limits should be set,"['DaemonSet/default/nginx-ingress', 'spec/template/spec/containers/0']","{'name': 'nginx-ingress-controller', 'image': 'k8s.gcr.io/ingress-nginx/controller:v1.1.0', 'args': ['/nginx-ingress-controller', '--election-id=ingress-controller-leader-nginx', '--controller-class=k8s.io/ingress-nginx', '--configmap=$(POD_NAMESPACE)/ingress-nginx-configuration', '--tcp-services-configmap=$(POD_NAMESPACE)/ingress-nginx-tcp-services', '--udp-services-configmap=$(POD_NAMESPACE)/ingress-nginx-udp-services', '--annotations-prefix=nginx.ingress.kubernetes.io'], 'securityContext': {'allowPrivilegeEscalation': True, 'capabilities': {'drop': ['ALL'], 'add': ['NET_BIND_SERVICE']}, 'runAsUser': 101}, 'env': [{'name': 'POD_NAME', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.name'}}}, {'name': 'POD_NAMESPACE', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.namespace'}}}], 'ports': [{'name': 'http', 'containerPort': 80, 'hostPort': 80}, {'name': 'https', 'containerPort': 443, 'hostPort': 443}], 'livenessProbe': {'failureThreshold': 3, 'httpGet': {'path': '/healthz', 'port': 10254, 'scheme': 'HTTP'}, 'initialDelaySeconds': 10, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 10}, 'readinessProbe': {'failureThreshold': 3, 'httpGet': {'path': '/healthz', 'port': 10254, 'scheme': 'HTTP'}, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 10}}",1296
