Chart,Alert_ID,Tool,Resource,LLM,Fixed,Added_Lines,Changed_Lines,Removed_Lines,Standard_ID
ussigw-configuration,CKV_K8S_21,checkov,"['Pod/default/dummy-test', '']",chatgpt,Fixed,1,0,0,check_26
ussigw-configuration,CKV_K8S_12,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_1
ussigw-configuration,CKV_K8S_8,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,13,0,0,check_7
ussigw-configuration,CKV_K8S_40,checkov,"['Pod/default/dummy-test', '']",chatgpt,Fixed,2,1,0,check_13
deis-workflow,CKV_K8S_21,checkov,"['ServiceAccount/default/deis-workflow', '']",chatgpt,Fixed,1,0,0,check_26
ussigw-configuration,CKV2_K8S_6,checkov,"['Pod/default/dummy-test', 'resource_type']",chatgpt,Not_Fixed,2,0,0,check_40
deis-workflow,CKV_K8S_15,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Fixed,15,0,0,check_25
ussigw-configuration,CKV_K8S_43,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,6,0,0,check_9
deis-workflow,CKV_K8S_37,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,15,0,0,check_34
deis-workflow,CKV_K8S_21,checkov,"['Service/default/deis-workflow', '']",chatgpt,Fixed,1,0,0,check_26
deis-workflow,CKV_K8S_13,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,19,0,0,check_2
deis-workflow,CKV_K8S_31,checkov,"['Deployment/default/deis-workflow', '']",chatgpt,Not_Fixed,4,1,0,check_31
deis-workflow,CKV_K8S_28,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_34
deis-workflow,CKV_K8S_23,checkov,"['Deployment/default/deis-workflow', '']",chatgpt,Fixed,5,1,0,check_28
deis-workflow,CKV_K8S_20,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Fixed,16,0,0,check_22
deis-workflow,CKV_K8S_11,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_5
deis-workflow,CKV_K8S_38,checkov,"['Deployment/default/deis-workflow', '']",chatgpt,Not_Fixed,0,1,2,check_35
deis-workflow,CKV_K8S_22,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Fixed,16,0,0,check_27
deis-workflow,CKV_K8S_43,checkov,"['Deployment/default/deis-workflow', 'spec/template/spec/containers/0']",chatgpt,Fixed,14,0,0,check_9
deis-workflow,CKV_K8S_21,checkov,"['Deployment/default/deis-workflow', '']",chatgpt,Fixed,1,0,0,check_26
deis-workflow,CKV_K8S_40,checkov,"['Deployment/default/deis-workflow', '']",chatgpt,Fixed,4,1,0,check_13
deis-workflow,CKV_K8S_10,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_4
deis-workflow,CKV_K8S_37,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_34
deis-workflow,CKV_K8S_13,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_2
deis-workflow,CKV_K8S_30,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_30
deis-workflow,CKV_K8S_9,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,14,0,0,check_8
deis-workflow,CKV_K8S_29,checkov,"['Pod/default/deis-workflow-test-connection', '']",chatgpt,Not_Fixed,7,1,0,check_30
deis-workflow,CKV_K8S_28,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_34
deis-workflow,CKV_K8S_38,checkov,"['Pod/default/deis-workflow-test-connection', '']",chatgpt,Not_Fixed,1,0,0,check_35
deis-workflow,CKV_K8S_20,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,8,0,0,check_22
deis-workflow,CKV_K8S_31,checkov,"['Pod/default/deis-workflow-test-connection', '']",chatgpt,Fixed,3,0,0,check_31
deis-workflow,CKV_K8S_23,checkov,"['Pod/default/deis-workflow-test-connection', '']",chatgpt,Fixed,6,1,0,check_28
deis-workflow,CKV_K8S_11,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_5
deis-workflow,CKV_K8S_22,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,15,0,0,check_27
deis-workflow,CKV_K8S_8,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,12,0,0,check_7
deis-workflow,CKV_K8S_21,checkov,"['Pod/default/deis-workflow-test-connection', '']",chatgpt,Fixed,1,0,0,check_26
deis-workflow,CKV_K8S_12,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_1
deis-workflow,CKV_K8S_43,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,6,0,0,check_9
deis-workflow,CKV_K8S_14,checkov,"['Pod/default/deis-workflow-test-connection', 'spec/containers/0']",chatgpt,Fixed,6,0,0,check_0
deis-workflow,CKV_K8S_40,checkov,"['Pod/default/deis-workflow-test-connection', '']",chatgpt,Fixed,3,1,0,check_13
deis-workflow,CKV2_K8S_6,checkov,"['Pod/default/deis-workflow-test-connection', 'resource_type']",chatgpt,Not_Fixed,7,0,0,check_40
rclone,CKV_K8S_21,checkov,"['ConfigMap/default/rclone-rclone-config', '']",chatgpt,Fixed,1,1,0,check_26
rclone,CKV_K8S_13,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Fixed,19,0,0,check_2
rclone,CKV_K8S_37,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Not_Fixed,16,0,0,check_34
rclone,CKV_K8S_15,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Fixed,15,0,0,check_25
rclone,CKV_K8S_29,checkov,"['CronJob/default/rclone', '']",chatgpt,Fixed,4,1,0,check_30
rclone,CKV_K8S_31,checkov,"['CronJob/default/rclone', '']",chatgpt,Fixed,3,1,0,check_31
rclone,CKV_K8S_30,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Fixed,19,0,0,check_30
rclone,CKV_K8S_23,checkov,"['CronJob/default/rclone', '']",chatgpt,Fixed,4,1,0,check_28
rclone,CKV_K8S_11,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Fixed,13,0,0,check_5
rclone,CKV_K8S_20,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Not_Fixed,18,0,0,check_22
rclone,CKV_K8S_28,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Not_Fixed,19,0,0,check_34
rclone,CKV_K8S_21,checkov,"['CronJob/default/rclone', '']",chatgpt,Fixed,1,0,0,check_26
rclone,CKV_K8S_38,checkov,"['CronJob/default/rclone', '']",chatgpt,Not_Fixed,0,0,0,check_35
rclone,CKV_K8S_22,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Fixed,17,0,0,check_27
test-helm-app1,CKV_K8S_13,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_2
rclone,CKV_K8S_40,checkov,"['CronJob/default/rclone', '']",chatgpt,Not_Fixed,3,1,0,check_13
rclone,CKV_K8S_43,checkov,"['CronJob/default/rclone', 'spec/jobTemplate/spec/template/spec/containers/0']",chatgpt,Fixed,16,0,0,check_9
test-helm-app1,CKV_K8S_10,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_4
test-helm-app1,CKV_K8S_37,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,19,0,0,check_34
test-helm-app1,CKV_K8S_9,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,21,0,0,check_8
test-helm-app1,CKV_K8S_30,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,19,0,0,check_30
test-helm-app1,CKV_K8S_31,checkov,"['Deployment/default/-deployment', '']",chatgpt,Fixed,3,1,0,check_31
test-helm-app1,CKV_K8S_29,checkov,"['Deployment/default/-deployment', '']",chatgpt,Fixed,7,1,0,check_30
thingsboard,CKV_K8S_10,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,0,0,0,check_4
thingsboard,CKV_K8S_15,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,0,0,0,check_25
test-helm-app1,CKV_K8S_28,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,19,0,0,check_34
test-helm-app1,CKV_K8S_23,checkov,"['Deployment/default/-deployment', '']",chatgpt,Fixed,3,2,0,check_28
test-helm-app1,CKV_K8S_20,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,17,0,0,check_22
test-helm-app1,CKV_K8S_11,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_5
test-helm-app1,CKV_K8S_38,checkov,"['Deployment/default/-deployment', '']",chatgpt,Not_Fixed,1,1,0,check_35
test-helm-app1,CKV_K8S_22,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,17,0,0,check_27
test-helm-app1,CKV_K8S_21,checkov,"['Deployment/default/-deployment', '']",chatgpt,Fixed,1,2,0,check_26
test-helm-app1,CKV_K8S_8,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,21,0,0,check_7
thingsboard,CKV_K8S_12,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,0,0,0,check_1
test-helm-app1,CKV_K8S_12,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_1
test-helm-app1,CKV_K8S_43,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,15,0,0,check_9
thingsboard,CKV_K8S_21,checkov,"['ServiceAccount/default/thingsboard-rabbitmq', '']",chatgpt,Fixed,0,1,0,check_26
thingsboard,CKV_K8S_21,checkov,"['Secret/default/thingsboard-rabbitmq', '']",chatgpt,Fixed,0,1,0,check_26
test-helm-app1,CKV_K8S_40,checkov,"['Deployment/default/-deployment', '']",chatgpt,Fixed,3,1,0,check_13
thingsboard,CKV_K8S_21,checkov,"['Role/default/thingsboard-rabbitmq-endpoint-reader', '']",chatgpt,Fixed,0,1,0,check_26
test-helm-app1,CKV_K8S_14,checkov,"['Deployment/default/-deployment', 'spec/template/spec/containers/0']",chatgpt,Fixed,15,0,0,check_0
thingsboard,CKV_K8S_21,checkov,"['ConfigMap/default/thingsboard-rabbitmq-config', '']",chatgpt,Fixed,0,1,0,check_26
thingsboard,CKV_K8S_21,checkov,"['RoleBinding/default/thingsboard-rabbitmq-endpoint-reader', '']",chatgpt,Fixed,0,1,0,check_26
thingsboard,CKV_K8S_21,checkov,"['Service/default/thingsboard-rabbitmq-headless', '']",chatgpt,Fixed,0,1,0,check_26
thingsboard,CKV_K8S_21,checkov,"['Service/default/thingsboard-rabbitmq', '']",chatgpt,Fixed,0,1,0,check_26
thingsboard,CKV_K8S_13,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,20,0,0,check_2
thingsboard,CKV_K8S_37,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,16,0,0,check_34
thingsboard,CKV_K8S_21,checkov,"['Service/default/thingsboard', '']",chatgpt,Fixed,1,1,0,check_26
thingsboard,CKV_K8S_35,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0/env/10']",chatgpt,Fixed,5,0,0,check_33
thingsboard,CKV_K8S_30,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Fixed,20,0,0,check_30
thingsboard,CKV_K8S_31,checkov,"['StatefulSet/default/thingsboard-rabbitmq', '']",chatgpt,Fixed,3,1,0,check_31
thingsboard,CKV_K8S_28,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Fixed,16,0,0,check_34
thingsboard,CKV_K8S_20,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_22
thingsboard,CKV_K8S_11,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Fixed,12,0,0,check_5
thingsboard,CKV_K8S_38,checkov,"['StatefulSet/default/thingsboard-rabbitmq', '']",chatgpt,Not_Fixed,0,1,0,check_35
thingsboard,CKV_K8S_21,checkov,"['StatefulSet/default/thingsboard-rabbitmq', '']",chatgpt,Fixed,0,2,0,check_26
thingsboard,CKV_K8S_22,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Fixed,17,0,0,check_27
thingsboard,CKV_K8S_43,checkov,"['StatefulSet/default/thingsboard-rabbitmq', 'spec/template/spec/containers/0']",chatgpt,Fixed,8,0,0,check_9
thingsboard,CKV_K8S_40,checkov,"['StatefulSet/default/thingsboard-rabbitmq', '']",chatgpt,Not_Fixed,0,1,0,check_13
thingsboard,CKV_K8S_37,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,17,0,0,check_34
thingsboard,CKV_K8S_13,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Fixed,19,0,0,check_2
thingsboard,CKV_K8S_29,checkov,"['StatefulSet/default/thingsboard', '']",chatgpt,Not_Fixed,2,1,0,check_30
thingsboard,CKV_K8S_31,checkov,"['StatefulSet/default/thingsboard', '']",chatgpt,Fixed,2,1,0,check_31
thingsboard,CKV_K8S_15,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Fixed,7,0,0,check_25
thingsboard,CKV_K8S_23,checkov,"['StatefulSet/default/thingsboard', '']",chatgpt,Fixed,3,1,0,check_28
thingsboard,CKV_K8S_28,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,18,0,0,check_34
thingsboard,CKV_K8S_20,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,19,0,0,check_22
thingsboard,CKV_K8S_11,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Fixed,11,0,0,check_5
thingsboard,CKV_K8S_21,checkov,"['StatefulSet/default/thingsboard', '']",chatgpt,Not_Fixed,1,0,0,check_26
thingsboard,CKV_K8S_8,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Fixed,22,0,0,check_7
thingsboard,CKV_K8S_22,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,9,0,0,check_27
thingsboard,CKV_K8S_43,checkov,"['StatefulSet/default/thingsboard', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,7,0,0,check_9
thingsboard,CKV_K8S_38,checkov,"['StatefulSet/default/thingsboard', '']",chatgpt,Not_Fixed,0,1,1,check_35
