Chart,Alert_ID,Tool,LLM,Syntax_Improvement,Changed_Lines,Added_Lines,Removed_Lines
deis-workflow,CKV_K8S_9,checkov,ChatGPT-gpt-4o-mini,1,1,14,0
deis-workflow,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
deis-workflow,CKV_K8S_29,checkov,ChatGPT-gpt-4o-mini,0,0,7,0
deis-workflow,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,1,10,0
deis-workflow,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,6,0
deis-workflow,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,1,8,0
deis-workflow,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
deis-workflow,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
deis-workflow,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,1,1,15,0
deis-workflow,CKV_K8S_8,checkov,ChatGPT-gpt-4o-mini,1,1,12,0
deis-workflow,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
deis-workflow,CKV_K8S_12,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
deis-workflow,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,1,6,0
deis-workflow,CKV_K8S_14,checkov,ChatGPT-gpt-4o-mini,1,1,6,0
deis-workflow,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
deis-workflow,CKV2_K8S_6,checkov,ChatGPT-gpt-4o-mini,0,0,7,0
rclone,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
rclone,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,5,19,0
rclone,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,5,16,0
rclone,CKV_K8S_15,checkov,ChatGPT-gpt-4o-mini,0,5,15,0
rclone,CKV_K8S_30,checkov,ChatGPT-gpt-4o-mini,0,5,19,0
rclone,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
rclone,CKV_K8S_29,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
rclone,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,5,19,0
rclone,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
rclone,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,5,18,0
rclone,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,5,13,0
rclone,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,0,0
rclone,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,1,5,17,0
rclone,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
rclone,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,5,16,0
rclone,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
test-helm-app1,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,4,18,0
test-helm-app1,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,4,19,0
test-helm-app1,CKV_K8S_10,checkov,ChatGPT-gpt-4o-mini,1,4,18,0
test-helm-app1,CKV_K8S_30,checkov,ChatGPT-gpt-4o-mini,1,4,19,0
test-helm-app1,CKV_K8S_9,checkov,ChatGPT-gpt-4o-mini,1,4,21,0
test-helm-app1,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
test-helm-app1,CKV_K8S_29,checkov,ChatGPT-gpt-4o-mini,0,0,7,0
test-helm-app1,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,4,19,0
test-helm-app1,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,2,3,0
test-helm-app1,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,4,17,0
test-helm-app1,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,4,18,0
test-helm-app1,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
test-helm-app1,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,1,4,17,0
test-helm-app1,CKV_K8S_8,checkov,ChatGPT-gpt-4o-mini,1,4,21,0
test-helm-app1,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,2,1,0
test-helm-app1,CKV_K8S_12,checkov,ChatGPT-gpt-4o-mini,1,4,18,0
test-helm-app1,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,4,15,0
test-helm-app1,CKV_K8S_14,checkov,ChatGPT-gpt-4o-mini,1,4,15,0
test-helm-app1,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
thingsboard,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,99,20,0
thingsboard,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,0,99,16,0
thingsboard,CKV_K8S_35,checkov,ChatGPT-gpt-4o-mini,0,91,5,0
thingsboard,CKV_K8S_30,checkov,ChatGPT-gpt-4o-mini,1,99,20,0
thingsboard,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
thingsboard,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,99,16,0
thingsboard,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,0,99,18,0
thingsboard,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,0,97,12,0
thingsboard,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,0,0
thingsboard,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,0,101,17,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,2,0,0
thingsboard,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,0,99,8,0
thingsboard,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,0,0
thingsboard,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,18,19,0
thingsboard,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,18,17,0
thingsboard,CKV_K8S_15,checkov,ChatGPT-gpt-4o-mini,0,18,7,0
thingsboard,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,2,0
thingsboard,CKV_K8S_29,checkov,ChatGPT-gpt-4o-mini,0,0,2,0
thingsboard,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,18,18,0
thingsboard,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
thingsboard,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,18,19,0
thingsboard,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,0,18,11,0
thingsboard,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,0,1
thingsboard,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,0,18,9,0
thingsboard,CKV_K8S_8,checkov,ChatGPT-gpt-4o-mini,1,19,22,0
thingsboard,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
thingsboard,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,0,18,7,0
thingsboard,CKV_K8S_14,checkov,ChatGPT-gpt-4o-mini,1,18,15,0
